season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2015,MLB,NL-West,COL,SDN,SDN,7,12,0,19
2015,MLB,NL-West,COL,SFN,COL,11,8,0,19
2015,MLB,NL-West,LAN,SDN,LAN,14,5,0,19
2015,MLB,NL-West,LAN,SFN,SFN,8,11,0,19
2015,MLB,NL-West,SDN,SFN,SFN,8,11,0,19
2016,MLB,AL-Central,CHA,CLE,CLE,8,11,0,19
2016,MLB,AL-Central,CHA,DET,DET,7,12,0,19
2016,MLB,AL-Central,CHA,KCA,KCA,5,14,0,19
2016,MLB,AL-Central,CHA,MIN,CHA,12,7,0,19
2016,MLB,AL-Central,CLE,DET,CLE,14,4,0,18
2016,MLB,AL-Central,CLE,KCA,CLE,14,5,0,19
2016,MLB,AL-Central,CLE,MIN,CLE,10,9,0,19
2016,MLB,AL-Central,DET,KCA,KCA,7,12,0,19
2016,MLB,AL-Central,DET,MIN,DET,15,4,0,19
2016,MLB,AL-Central,KCA,MIN,KCA,15,4,0,19
2016,MLB,AL-East,BAL,BOS,BOS,8,11,0,19
2016,MLB,AL-East,BAL,NYA,BAL,10,9,0,19
2016,MLB,AL-East,BAL,TBA,BAL,13,6,0,19
2016,MLB,AL-East,BAL,TOR,TOR,9,10,0,19
2016,MLB,AL-East,BOS,NYA,BOS,11,8,0,19
2016,MLB,AL-East,BOS,TBA,BOS,12,7,0,19
2016,MLB,AL-East,BOS,TOR,TOR,9,10,0,19
2016,MLB,AL-East,NYA,TBA,NYA,11,8,0,19
2016,MLB,AL-East,NYA,TOR,TOR,7,12,0,19
2016,MLB,AL-East,TBA,TOR,TBA,11,8,0,19
2016,MLB,AL-West,ANA,HOU,HOU,6,13,0,19
2016,MLB,AL-West,ANA,OAK,ANA,12,7,0,19
2016,MLB,AL-West,ANA,SEA,SEA,8,11,0,19
2016,MLB,AL-West,ANA,TEX,TEX,9,10,0,19
2016,MLB,AL-West,HOU,OAK,HOU,13,6,0,19
2016,MLB,AL-West,HOU,SEA,HOU,11,8,0,19
2016,MLB,AL-West,HOU,TEX,TEX,4,15,0,19
2016,MLB,AL-West,OAK,SEA,SEA,7,12,0,19
2016,MLB,AL-West,OAK,TEX,TEX,9,10,0,19
2016,MLB,AL-West,SEA,TEX,TEX,7,12,0,19
2016,MLB,NL-Central,CHN,CIN,CHN,15,4,0,19
2016,MLB,NL-Central,CHN,MIL,CHN,11,8,0,19
2016,MLB,NL-Central,CHN,PIT,CHN,14,4,1,19
2016,MLB,NL-Central,CHN,SLN,CHN,10,9,0,19
2016,MLB,NL-Central,CIN,MIL,CIN,11,8,0,19
2016,MLB,NL-Central,CIN,PIT,PIT,9,10,0,19
2016,MLB,NL-Central,CIN,SLN,SLN,9,10,0,19
2016,MLB,NL-Central,MIL,PIT,PIT,9,10,0,19
2016,MLB,NL-Central,MIL,SLN,SLN,6,13,0,19
2016,MLB,NL-Central,PIT,SLN,SLN,9,10,0,19
2016,MLB,NL-East,ATL,MIA,ATL,11,7,0,18
2016,MLB,NL-East,ATL,NYN,ATL,10,9,0,19
2016,MLB,NL-East,ATL,PHI,ATL,11,8,0,19
